Throttle angle, ?t (degrees);Engine Speed, N (rad/s);Manifold Absolute Pressure, pm (kpa)
10;220;86,5
12;251;85
15;270;81,4
19;264;87,9
24;289;85,9
25;295;87,2
27;302;88,5
28;302;88,9
30;308;89,4
34;302;90,7
35;320;92,1
36;320;92
37;314;92,6
36;327;92,6
37;308;92,7
37;320;93
38;308;93,1
38;314;94,6
39;314;93,5
40;308;93,7
40;333;94
41;352;93,7
41;364;92,5
43;377;94,6
43;390;94,4
43;421;94,7
44;427;93,5
45;440;93,6
45;459;93,8
45;478;93,3
46;490;92,5
46;503;92,7
46;528;92,9
48;540;93,3
48;559;92,6
49;565;93,6
49;584;92,7
50;597;92,5
51;609;93,4
50;628;92,9
50;641;92,8
52;647;93
52;666;93
52;679;93,5
53;691;93,5
53;704;93,5
54;716;92,9
54;735;93
54;741;93,2
55;760;93,3
57;754;93,7
57;760;93,7
58;760;94
57;773;93,6
59;773;94,1
59;785;94,4
60;792;94,7
60;811;94
62;817;94,9
62;836;94
62;836;94
63;855;94,5
62;861;94,3
61;873;93,8
61;886;93,8
61;898;93,8
61;898;93,2
62;911;93,9
61;917;93,2
60;924;93,1
60;930;93,5
61;917;94,2
61;911;93,6
61;905;93,7
60;905;92,8
61;905;93,9
59;905;93,1
61;905;93,8
60;911;93,1
61;905;93,8
60;911;93,3
61;898;93,5
61;898;94,1
60;905;93,1
61;898;93,7
60;911;93,7
61;898;93,6
61;905;94,4
59;905;92,8
57;898;93,3
53;905;92,1
50;898;90,7
47;892;89,9
45;892;88,8
44;892;88,2
42;892;87,2
40;892;85,7
39;886;84,7
38;886;84,6
37;873;84,2
37;867;84,3
36;867;83,5
36;855;83,1
35;848;82,8
35;855;82,4
34;804;84,4
31;811;82,6
30;804;83,3
28;792;80,8
28;773;81,4
27;754;80,4
26;741;79,9
25;729;79,9
24;716;77
23;704;77,8
22;691;75,6
20;679;74,7
19;666;74,4
18;647;73,9
17;635;74,3
17;628;74
16;609;73,9
16;603;74,7
16;584;75,1
15;572;74,3
15;559;75,6
13;547;74,4
10;534;73,4
8;528;74,2
6;515;72,6
3;496;75,7
1;484;78,4
0;471;78,7
0;465;79,7
0;452;82,3
0;440;82,3
0;427;82,5
0;415;85,2
0;408;82,3
0;396;81,7
0;383;81,7
0;377;85
0;358;85
0;352;85,7
0;339;85,8
0;333;86,1
0;320;87,3
0;308;86,3
0;302;89
0;289;90,5
5;113;91,2
13;163;84,8
18;232;88,4
24;258;90,5
25;283;86,1
25;295;86,6
25;295;87,3
25;295;88
26;302;88,4
27;302;88,8
28;302;88,5
29;308;88,7
31;295;89,4
32;302;89,9
33;314;91,7
33;314;91,3
34;302;91,2
35;302;91,6
35;314;93,7
36;314;92,4
37;295;92,5
38;302;93
38;327;93,5
39;333;93,4
39;364;93,3
39;377;91,6
40;396;92,5
40;408;92,1
41;415;92,2
41;440;92,4
42;452;92,6
43;459;92,9
42;484;91
43;496;91,6
43;509;91,7
44;522;92,7
44;528;92,1
45;540;92,6
45;565;92,3
45;578;92,6
45;584;91,3
46;603;91,3
47;609;92,8
47;622;91,5
47;641;91,7
49;647;92,1
50;666;92,4
50;672;92,7
50;685;92,1
51;697;93,1
51;716;92,6
52;723;92,2
53;735;92,2
53;741;92,5
54;754;92,7
55;760;93,2
55;773;92,7
57;773;93,7
57;779;93,7
58;785;94
59;792;94,4
58;817;93,6
60;829;94,7
60;829;93,7
60;836;93,7
59;855;93,8
61;861;93,9
59;873;93,7
61;886;93,5
61;892;93,2
62;898;93,8
62;911;94,1
62;911;93,5
61;930;93,4
62;936;93,5
62;942;93,6
63;955;93,7
63;961;94,2
63;968;93,8
62;974;93,8
61;980;94,6
61;986;93,4
62;999;93,7
62;993;93,9
62;1005;93,6
61;1005;93,4
62;1012;93,7
62;1018;93,6
61;1018;93,4
62;1024;93,6
63;1005;94,1
62;1005;93,1
63;999;94
62;1005;93,2
62;999;93,7
64;1005;93,8
62;1005;93,1
63;999;93,8
62;1005;93,3
63;999;94,1
64;1005;93,6
62;999;93,6
64;999;94
62;999;93,3
62;999;93,8
58;999;93
52;993;90,4
51;993;90,5
50;986;89,6
46;986;89
46;974;87,6
44;968;87,7
44;968;88
46;961;87,4
43;961;87,3
44;949;86,7
43;949;87,5
42;942;86,7
41;936;85,7
40;930;85,8
36;898;83,6
33;898;83,6
32;886;82,1
29;873;81,5
27;855;79,8
27;842;78,7
26;829;79,5
26;811;77,5
24;798;78
23;785;76,8
22;767;76,3
21;754;74,7
20;735;74
18;723;72,9
17;710;72,5
16;697;72,3
15;685;71,6
15;672;73,2
14;660;72,4
14;647;72,6
14;635;73
14;622;72,5
13;609;74,5
13;597;72,8
13;578;72,8
12;572;74
10;553;73,5
9;547;73,7
8;540;73,1
6;528;73,3
6;509;75,2
5;496;73,8
5;490;73,4
4;478;75,7
2;465;77,5
1;452;78,4
0;446;78,4
0;434;80,3
0;415;79
0;408;83
0;396;82
0;383;82,4
0;377;84,5
0;364;83,8
0;358;87,7
0;339;88
0;339;88,3
0;327;88,4
0;320;89,2
0;308;89,2
0;302;87,8
0;289;88
0;145;92,5
3;126;89,1
6;94;91,1
9;170;84,1
12;232;86,5
14;264;86,6
15;264;81,3
17;258;88,1
19;270;84,5
22;270;88,2
24;283;85,9
25;295;86,5
25;295;87,5
26;302;88,1
27;302;88,2
28;302;88,6
30;308;89,4
32;302;90,1
33;302;90,6
32;314;92,6
33;314;91
35;302;91,5
35;302;91,8
36;308;94,1
36;308;94,3
38;320;93,2
39;333;93,3
40;339;93,5
40;364;93,7
41;371;92,9
41;396;92,4
42;402;92,6
42;434;92,8
43;446;92,5
43;459;93
44;478;93,7
44;490;93,7
44;503;93,7
44;522;92,4
45;534;93,1
46;547;92,5
46;559;93
47;584;92,6
48;591;93,2
48;609;92,6
50;616;92,4
49;635;92,5
